1,1,3,2014-04-25 00:00:00.000,
2,2,3,2014-05-09 00:00:00.000,
3,3,3,2014-05-19 00:00:00.000,2020-12-28 00:00:00.000
4,4,3,2014-05-29 00:00:00.000,
5,5,3,2014-09-02 00:00:00.000,
6,6,3,2015-05-14 00:00:00.000,
7,7,3,2014-07-21 00:00:00.000,
8,8,3,2014-09-08 00:00:00.000,2018-07-31 00:00:00.000
9,9,3,2014-09-15 00:00:00.000,
10,10,2,2015-06-15 00:00:00.000,
11,11,2,2016-09-20 00:00:00.000,
12,12,2,2014-10-15 00:00:00.000,
13,13,3,2015-01-06 00:00:00.000,
14,14,3,2015-10-29 00:00:00.000,
15,15,3,2015-12-10 00:00:00.000,
16,16,3,2015-01-29 00:00:00.000,2020-10-07 00:00:00.000
17,17,3,2015-01-29 00:00:00.000,2020-10-31 00:00:00.000
18,18,3,2016-03-11 00:00:00.000,
19,19,3,2016-05-18 00:00:00.000,
20,20,3,2016-06-24 00:00:00.000,
21,21,3,2016-08-12 00:00:00.000,
22,22,2,2016-08-30 00:00:00.000,2018-10-31 00:00:00.000
23,23,2,2016-10-07 00:00:00.000,2018-10-31 00:00:00.000
24,24,2,2016-10-10 00:00:00.000,2018-10-31 00:00:00.000
25,25,2,2017-05-01 00:00:00.000,2019-04-30 00:00:00.000
26,26,2,2018-06-25 00:00:00.000,2020-06-30 00:00:00.000
27,27,3,2015-05-28 00:00:00.000,2020-08-31 00:00:00.000
28,28,3,2016-01-27 00:00:00.000,
29,29,2,2016-04-20 00:00:00.000,
30,30,2,2016-09-09 00:00:00.000,
31,31,2,2017-03-15 00:00:00.000,
32,32,2,2017-07-19 00:00:00.000,
33,33,2,2016-12-01 00:00:00.000,2019-03-30 00:00:00.000
34,34,2,2017-01-11 00:00:00.000,2019-03-30 00:00:00.000
35,35,2,2016-12-08 00:00:00.000,
36,36,2,2017-01-13 00:00:00.000,
37,37,2,2017-03-13 00:00:00.000,
38,38,2,2017-03-31 00:00:00.000,
39,39,2,2017-03-31 00:00:00.000,
40,40,2,2017-04-26 00:00:00.000,
41,41,2,2017-05-24 00:00:00.000,
42,42,2,2017-05-25 00:00:00.000,
43,43,2,2017-06-01 00:00:00.000,
44,44,2,2017-06-30 00:00:00.000,
45,45,2,2017-07-06 00:00:00.000,
46,46,2,2017-09-25 00:00:00.000,
47,47,2,2017-09-25 00:00:00.000,
48,48,2,2017-12-15 00:00:00.000,
49,49,2,2018-03-22 00:00:00.000,
50,50,2,2018-05-08 00:00:00.000,
51,51,2,2018-05-08 00:00:00.000,
52,52,2,2018-05-08 00:00:00.000,
53,53,2,2018-05-08 00:00:00.000,
54,54,2,2018-05-08 00:00:00.000,
55,55,2,2018-05-08 00:00:00.000,
56,56,2,2018-05-29 00:00:00.000,
57,57,2,2016-08-19 00:00:00.000,
58,58,2,2017-03-06 00:00:00.000,
59,59,2,2017-08-31 00:00:00.000,
60,61,2,2017-03-30 00:00:00.000,
61,62,2,2017-07-18 00:00:00.000,
62,63,4,2017-01-13 00:00:00.000,
63,64,4,2017-09-01 00:00:00.000,
64,65,3,2017-10-10 00:00:00.000,
65,66,3,2017-11-28 00:00:00.000,
66,67,3,2017-12-15 00:00:00.000,
67,68,3,2018-03-05 00:00:00.000,
68,69,3,2018-05-10 00:00:00.000,
69,70,3,2016-07-28 00:00:00.000,
70,71,3,2016-08-19 00:00:00.000,
71,72,3,2017-01-11 00:00:00.000,
72,73,3,2017-06-30 00:00:00.000,
73,74,3,2017-10-02 00:00:00.000,
74,75,3,2017-11-28 00:00:00.000,
75,76,3,2015-08-14 00:00:00.000,2021-10-19 00:00:00.000
76,77,2,2015-08-27 00:00:00.000,2022-01-31 00:00:00.000
77,78,2,2015-12-02 00:00:00.000,2016-08-31 00:00:00.000
78,79,2,2016-05-09 00:00:00.000,
