1,43,Property_0001,TX,Texas,San Antonio,16050.0,2014-04-25 00:00:00,2892966.0,7.450055064594606,1,6,0,5
10,52,Property_0010,MN,Minnesota,Inver Grove Heights,13905.0,2015-06-15 00:00:00,3563000.0,6.63884367106371,1,6,0,5
100,18,Property_0100,TX,Texas,Cleveland,10906.0,2015-09-01 00:00:00,2785000.0,7.2177737881508079,1,6,0,7
101,226,Property_0101,TX,Texas,Jacinto City,13905.0,2015-10-27 00:00:00,2651400.0,7.5,1,6,0,5
102,7,Property_0102,MO,Missouri,Belton,10908.0,2015-11-10 00:00:00,4675000.0,7.8652917647058826,1,6,0,5
103,33,Property_0103,GA,Georgia,Perry,10125.0,2016-03-15 00:00:00,2815000.0,6.6421999999999999,1,6,0,6
104,127,Property_0104,OK,Oklahoma,Oklahoma City,13905.0,2015-12-30 00:00:00,3615000.0,6.7496542185338866,1,6,0,6
105,17,Property_0105,AZ,Arizona,Oro Valley,14884.0,2016-09-09 00:00:00,2150000.0,0.0,1,6,0,7
106,193,Property_0106,TX,Texas,Spring,13500.0,2016-06-09 00:00:00,1200000.0,15.833333333333332,1,6,0,5
107,194,Property_0107,NC,North Carolina,Rocky Mount,10125.0,2016-09-16 00:00:00,3300000.0,7.6656727272727281,1,6,0,6
108,32,Property_0108,KY,Kentucky,Erlanger,15120.0,2016-12-14 00:00:00,5200000.0,7.0769230769230766,1,6,0,5
109,35,Property_0109,MD,Maryland,Baltimore,15120.0,2017-01-31 00:00:00,5440560.0,7.1499992647815658,1,6,0,5
11,53,Property_0011,TX,Texas,Houston,10908.0,2016-09-20 00:00:00,3700000.0,5.9459481081081078,1,6,0,5
110,34,Property_0110,TN,Tennessee,Memphis,13905.0,2017-03-13 00:00:00,4986000.0,7.4007220216606493,1,6,0,5
111,191,Property_0111,CT,Connecticut,Torrington,15120.0,2017-04-04 00:00:00,5737500.0,7.6688453159041394,1,6,0,6
